Symbol,YahooTicker,Description,Sector,Analyst Rating,Screen Price,Screen Relative Volume,last_date,last_close,rsi_14,atr_14,return_1m_pct,return_3m_pct,return_6m_pct,distance_from_52w_high_pct,above_sma_20,distance_sma_20_pct,above_sma_50,distance_sma_50_pct,above_sma_100,distance_sma_100_pct,above_sma_200,distance_sma_200_pct,relative_strength_benchmark,relative_strength_ratio,relative_strength_ratio_sma_50,relative_strength_ratio_distance_sma_50_pct,relative_strength_above_50dma,relative_strength_3m_pct,relative_strength_leader,pnf_signal,pnf_price_source,pnf_box_method,box_size,pnf_reversal_boxes,setup_label,setup_reasons,rank_score,chart_pattern_view
RAIN,RAIN.NS,Rain Industries Limited,Process industries,Strong buy,225.23,0.8593130866753937,2026-07-30,222.85,61.82,9.14,21.895852300402986,74.61996654712036,54.06153854592859,-1.06,True,5.22,True,12.43,True,36.79,True,50.37,^NSEMDCP50,0.01238,0.01122,10.34,True,64.77146251303947,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,4.46,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (10.3%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
MENONBE,MENONBE.NS,Menon Bearings Limited,Producer manufacturing,No rating,213.77,0.3984402008200852,2026-07-30,214.9,65.36,12.21,34.276755673877155,70.92558254379323,75.36216256599262,-5.14,True,11.33,True,25.29,True,45.65,True,63.99,^NSEMDCP50,0.011939,0.009699,23.1,True,61.28544045410882,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,4.3,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (23.1%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
BLSE,BLSE.NS,BLS E-Services Limited,Technology services,No rating,282.32,6.430677455679042,2026-07-30,294.88,69.31,12.18,15.44906702558455,46.65539073031824,79.60209995521393,-1.32,True,8.15,True,20.2,True,41.2,True,49.41,^NSEMDCP50,0.016382,0.013877,18.05,True,38.38407883061343,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,5.9,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (18.1%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
RRKABEL,RRKABEL.NS,RR Kabel Ltd.,Producer manufacturing,Buy,2493.6,1.7864363857393568,2026-07-30,2574.2,65.37,112.75,8.082462272600033,45.37454901022151,91.44575830341215,-0.1,True,8.67,True,13.27,True,34.53,True,54.85,^NSEMDCP50,0.14301,0.128628,11.18,True,37.175476128177905,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,51.48,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (11.2%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
GCSL,GCSL.NS,Gretex Corporate Services Ltd,Finance,No rating,531.0,1.0375270872760347,2026-07-30,523.2,65.7,16.76,21.86895869900427,43.38113061742839,75.16369024661047,-1.49,True,2.79,True,14.9,True,29.13,True,44.46,^NSEMDCP50,0.029067,0.025757,12.85,True,35.294485824057766,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,10.46,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (12.8%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
ESAFSFB,ESAFSFB.NS,ESAF Small Finance Bank Limited,Finance,No rating,38.69,7.645079608895888,2026-07-30,36.71,58.45,1.95,9.223440695702712,38.21536077794547,30.26969015940777,-5.12,True,2.79,True,13.06,True,27.62,True,30.95,^NSEMDCP50,0.002039,0.001836,11.09,True,30.420063567037904,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,0.73,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (11.1%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
SPORTKING,SPORTKING.NS,Sportking India Ltd.,Process industries,No rating,213.74,0.733720077094185,2026-07-30,204.76,60.24,9.1,16.98565727868566,36.23419184916723,143.5589333295097,-5.01,True,4.03,True,10.36,True,28.05,True,59.63,^NSEMDCP50,0.011375,0.010501,8.33,True,28.550631861516983,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,4.1,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (8.3%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
GHCLTEXTIL,GHCLTEXTIL.NS,Ghcl Textiles Ltd.,Process industries,No rating,115.82,0.6441975258736752,2026-07-30,121.36,69.99,5.43,24.945952890038757,35.35541511926363,58.078161889095334,0.0,True,7.56,True,18.65,True,31.92,True,44.97,^NSEMDCP50,0.006742,0.005786,16.52,True,27.721417826765894,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,2.43,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (16.5%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
SWANDEF,SWANDEF.NS,Swan Defence and Heavy Industries Ltd,Producer manufacturing,No rating,2427.7,0.4188397942229607,2026-07-30,2425.0,64.13,103.81,7.519735080240375,34.21518344394745,33.344332594015654,-0.23,True,5.07,True,12.36,True,19.01,True,43.15,^NSEMDCP50,0.134721,0.122129,10.31,True,26.645494812573546,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,48.5,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (10.3%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
SJS,SJS.NS,S.J.S. Enterprises Limited,Producer manufacturing,Strong buy,2335.6,2.2303085112502723,2026-07-30,2367.5,67.5,76.2,6.2755331459509955,26.70156814958009,46.49697357352181,-2.14,True,5.85,True,9.63,True,21.71,True,30.11,^NSEMDCP50,0.131527,0.122243,7.59,True,19.555644749641775,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,47.35,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (7.6%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
SGMART,SGMART.NS,SG Mart Ltd,Utilities,Buy,713.55,1.331625727219783,2026-07-30,700.7,63.55,29.63,15.142556283381658,25.494769023981846,99.23229681168112,-2.77,True,6.11,True,13.15,True,22.32,True,48.97,^NSEMDCP50,0.038928,0.035045,11.08,True,18.416908665697896,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,14.01,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (11.1%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
HAPPYFORGE,HAPPYFORGE.NS,Happy Forging Limited,Producer manufacturing,Buy,1615.5,1.085958689755894,2026-07-30,1644.6,63.24,51.98,7.6126884690937535,22.546003313479268,57.50228784958973,-0.87,True,3.64,True,10.25,True,17.72,True,32.13,^NSEMDCP50,0.091366,0.084401,8.25,True,15.634452292951373,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,32.89,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (8.2%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
FEDERALBNK,FEDERALBNK.NS,Federal Bank Ltd. (India),Finance,Buy,354.3,0.3755085695502052,2026-07-30,353.5,67.19,6.52,6.6686802988954685,22.25488758839571,24.274911172340573,-1.57,True,3.49,True,9.47,True,17.1,True,25.51,^NSEMDCP50,0.019639,0.018275,7.46,True,15.359755391267926,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,7.07,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (7.5%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
FLUOROCHEM,FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,Process industries,Buy,4573.7,0.354758913645029,2026-07-30,4437.9,63.36,136.12,12.897809982332742,18.31875452092675,47.18426552835855,-3.67,True,5.07,True,12.67,True,20.95,True,24.16,^NSEMDCP50,0.246549,0.222866,10.63,True,11.645618829468841,True,Bullish P&F breakout,"Adj Close if available, else Close",2.0% of latest close,88.76,3,Strong watchlist candidate,above 50 DMA; above 200 DMA; RS ratio above 50 DMA (10.6%); RSI in constructive zone; P&F breakout,7.5,Breakout candidate and RS leader; watch for retest/continuation
