symbol,name,ticker,source_index
360ONE,360 ONE WAM Ltd.,360ONE.NS,NIFTY 500
3MINDIA,3M India Ltd.,3MINDIA.NS,NIFTY 500
AADHARHFC,Aadhar Housing Finance Ltd.,AADHARHFC.NS,NIFTY 500
AARTIIND,Aarti Industries Ltd.,AARTIIND.NS,NIFTY 500
AAVAS,Aavas Financiers Ltd.,AAVAS.NS,NIFTY 500
ABB,ABB India Ltd.,ABB.NS,NIFTY 500
ABBOTINDIA,Abbott India Ltd.,ABBOTINDIA.NS,NIFTY 500
ABCAPITAL,Aditya Birla Capital Ltd.,ABCAPITAL.NS,NIFTY 500
ABDL,Allied Blenders and Distillers Ltd.,ABDL.NS,NIFTY 500
ABFRL,Aditya Birla Fashion and Retail Ltd.,ABFRL.NS,NIFTY 500
ABLBL,Aditya Birla Lifestyle Brands Ltd.,ABLBL.NS,NIFTY 500
ABREL,Aditya Birla Real Estate Ltd.,ABREL.NS,NIFTY 500
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,ABSLAMC.NS,NIFTY 500
ACC,ACC Ltd.,ACC.NS,NIFTY 500
ACE,Action Construction Equipment Ltd.,ACE.NS,NIFTY 500
ACMESOLAR,ACME Solar Holdings Ltd.,ACMESOLAR.NS,NIFTY 500
ACUTAAS,Acutaas Chemicals Ltd.,ACUTAAS.NS,NIFTY 500
ADANIENSOL,Adani Energy Solutions Ltd.,ADANIENSOL.NS,NIFTY 500
ADANIENT,Adani Enterprises Ltd.,ADANIENT.NS,NIFTY 500
ADANIGREEN,Adani Green Energy Ltd.,ADANIGREEN.NS,NIFTY 500
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,NIFTY 500
ADANIPOWER,Adani Power Ltd.,ADANIPOWER.NS,NIFTY 500
AEGISLOG,Aegis Logistics Ltd.,AEGISLOG.NS,NIFTY 500
AEGISVOPAK,Aegis Vopak Terminals Ltd.,AEGISVOPAK.NS,NIFTY 500
AFCONS,Afcons Infrastructure Ltd.,AFCONS.NS,NIFTY 500
AFFLE,Affle 3i Ltd.,AFFLE.NS,NIFTY 500
AIAENG,AIA Engineering Ltd.,AIAENG.NS,NIFTY 500
AIIL,Authum Investment & Infrastructure Ltd.,AIIL.NS,NIFTY 500
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,AJANTPHARM.NS,NIFTY 500
ALKEM,Alkem Laboratories Ltd.,ALKEM.NS,NIFTY 500
AMBER,Amber Enterprises India Ltd.,AMBER.NS,NIFTY 500
AMBUJACEM,Ambuja Cements Ltd.,AMBUJACEM.NS,NIFTY 500
ANANDRATHI,Anand Rathi Wealth Ltd.,ANANDRATHI.NS,NIFTY 500
ANANTRAJ,Anant Raj Ltd.,ANANTRAJ.NS,NIFTY 500
ANGELONE,Angel One Ltd.,ANGELONE.NS,NIFTY 500
ANTHEM,Anthem Biosciences Ltd.,ANTHEM.NS,NIFTY 500
ANURAS,Anupam Rasayan India Ltd.,ANURAS.NS,NIFTY 500
APARINDS,Apar Industries Ltd.,APARINDS.NS,NIFTY 500
APLAPOLLO,APL Apollo Tubes Ltd.,APLAPOLLO.NS,NIFTY 500
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,NIFTY 500
APOLLOTYRE,Apollo Tyres Ltd.,APOLLOTYRE.NS,NIFTY 500
APTUS,Aptus Value Housing Finance India Ltd.,APTUS.NS,NIFTY 500
ARE&M,Amara Raja Energy & Mobility Ltd.,ARE&M.NS,NIFTY 500
ASAHIINDIA,Asahi India Glass Ltd.,ASAHIINDIA.NS,NIFTY 500
