symbol,name,ticker,sector,source_index
360ONE,360 ONE WAM Ltd.,360ONE.NS,Financial Services,NIFTY 500
3MINDIA,3M India Ltd.,3MINDIA.NS,Diversified,NIFTY 500
AADHARHFC,Aadhar Housing Finance Ltd.,AADHARHFC.NS,Financial Services,NIFTY 500
AARTIIND,Aarti Industries Ltd.,AARTIIND.NS,Chemicals,NIFTY 500
AAVAS,Aavas Financiers Ltd.,AAVAS.NS,Financial Services,NIFTY 500
ABB,ABB India Ltd.,ABB.NS,Capital Goods,NIFTY 500
ABBOTINDIA,Abbott India Ltd.,ABBOTINDIA.NS,Healthcare,NIFTY 500
ABCAPITAL,Aditya Birla Capital Ltd.,ABCAPITAL.NS,Financial Services,NIFTY 500
ABDL,Allied Blenders and Distillers Ltd.,ABDL.NS,Fast Moving Consumer Goods,NIFTY 500
ABFRL,Aditya Birla Fashion and Retail Ltd.,ABFRL.NS,Consumer Services,NIFTY 500
ABLBL,Aditya Birla Lifestyle Brands Ltd.,ABLBL.NS,Consumer Services,NIFTY 500
ABREL,Aditya Birla Real Estate Ltd.,ABREL.NS,Realty,NIFTY 500
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,ABSLAMC.NS,Financial Services,NIFTY 500
ACC,ACC Ltd.,ACC.NS,Construction Materials,NIFTY 500
ACE,Action Construction Equipment Ltd.,ACE.NS,Capital Goods,NIFTY 500
ACMESOLAR,ACME Solar Holdings Ltd.,ACMESOLAR.NS,Power,NIFTY 500
ACUTAAS,Acutaas Chemicals Ltd.,ACUTAAS.NS,Healthcare,NIFTY 500
ADANIENSOL,Adani Energy Solutions Ltd.,ADANIENSOL.NS,Power,NIFTY 500
ADANIENT,Adani Enterprises Ltd.,ADANIENT.NS,Metals & Mining,NIFTY 500
ADANIGREEN,Adani Green Energy Ltd.,ADANIGREEN.NS,Power,NIFTY 500
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,Services,NIFTY 500
ADANIPOWER,Adani Power Ltd.,ADANIPOWER.NS,Power,NIFTY 500
AEGISLOG,Aegis Logistics Ltd.,AEGISLOG.NS,Oil Gas & Consumable Fuels,NIFTY 500
AEGISVOPAK,Aegis Vopak Terminals Ltd.,AEGISVOPAK.NS,Oil Gas & Consumable Fuels,NIFTY 500
AFCONS,Afcons Infrastructure Ltd.,AFCONS.NS,Construction,NIFTY 500
AFFLE,Affle 3i Ltd.,AFFLE.NS,Information Technology,NIFTY 500
AIAENG,AIA Engineering Ltd.,AIAENG.NS,Capital Goods,NIFTY 500
AIIL,Authum Investment & Infrastructure Ltd.,AIIL.NS,Financial Services,NIFTY 500
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,AJANTPHARM.NS,Healthcare,NIFTY 500
ALKEM,Alkem Laboratories Ltd.,ALKEM.NS,Healthcare,NIFTY 500
AMBER,Amber Enterprises India Ltd.,AMBER.NS,Consumer Durables,NIFTY 500
AMBUJACEM,Ambuja Cements Ltd.,AMBUJACEM.NS,Construction Materials,NIFTY 500
ANANDRATHI,Anand Rathi Wealth Ltd.,ANANDRATHI.NS,Financial Services,NIFTY 500
ANANTRAJ,Anant Raj Ltd.,ANANTRAJ.NS,Realty,NIFTY 500
ANGELONE,Angel One Ltd.,ANGELONE.NS,Financial Services,NIFTY 500
ANTHEM,Anthem Biosciences Ltd.,ANTHEM.NS,Healthcare,NIFTY 500
ANURAS,Anupam Rasayan India Ltd.,ANURAS.NS,Chemicals,NIFTY 500
APARINDS,Apar Industries Ltd.,APARINDS.NS,Capital Goods,NIFTY 500
APLAPOLLO,APL Apollo Tubes Ltd.,APLAPOLLO.NS,Capital Goods,NIFTY 500
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,Healthcare,NIFTY 500
APOLLOTYRE,Apollo Tyres Ltd.,APOLLOTYRE.NS,Automobile and Auto Components,NIFTY 500
APTUS,Aptus Value Housing Finance India Ltd.,APTUS.NS,Financial Services,NIFTY 500
ARE&M,Amara Raja Energy & Mobility Ltd.,ARE&M.NS,Automobile and Auto Components,NIFTY 500
ASAHIINDIA,Asahi India Glass Ltd.,ASAHIINDIA.NS,Automobile and Auto Components,NIFTY 500
ASHOKLEY,Ashok Leyland Ltd.,ASHOKLEY.NS,Capital Goods,NIFTY 500
ASIANPAINT,Asian Paints Ltd.,ASIANPAINT.NS,Consumer Durables,NIFTY 500
ASTERDM,Aster DM Quality Care Ltd.,ASTERDM.NS,Healthcare,NIFTY 500
ASTRAL,Astral Ltd.,ASTRAL.NS,Capital Goods,NIFTY 500
ATGL,Adani Total Gas Ltd.,ATGL.NS,Oil Gas & Consumable Fuels,NIFTY 500
ATHERENERG,Ather Energy Ltd.,ATHERENERG.NS,Automobile and Auto Components,NIFTY 500
ATUL,Atul Ltd.,ATUL.NS,Chemicals,NIFTY 500
AUBANK,AU Small Finance Bank Ltd.,AUBANK.NS,Financial Services,NIFTY 500
AUROPHARMA,Aurobindo Pharma Ltd.,AUROPHARMA.NS,Healthcare,NIFTY 500
AWL,AWL Agri Business Ltd.,AWL.NS,Fast Moving Consumer Goods,NIFTY 500
AXISBANK,Axis Bank Ltd.,AXISBANK.NS,Financial Services,NIFTY 500
BAJAJ-AUTO,Bajaj Auto Ltd.,BAJAJ-AUTO.NS,Automobile and Auto Components,NIFTY 500
BAJAJFINSV,Bajaj Finserv Ltd.,BAJAJFINSV.NS,Financial Services,NIFTY 500
BAJAJHFL,Bajaj Housing Finance Ltd.,BAJAJHFL.NS,Financial Services,NIFTY 500
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.NS,Financial Services,NIFTY 500
BAJFINANCE,Bajaj Finance Ltd.,BAJFINANCE.NS,Financial Services,NIFTY 500
BALKRISIND,Balkrishna Industries Ltd.,BALKRISIND.NS,Automobile and Auto Components,NIFTY 500
BALRAMCHIN,Balrampur Chini Mills Ltd.,BALRAMCHIN.NS,Fast Moving Consumer Goods,NIFTY 500
BANDHANBNK,Bandhan Bank Ltd.,BANDHANBNK.NS,Financial Services,NIFTY 500
