symbol,name,ticker,downloaded,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume_ratio_20d,rsi_14,rsi_5d_ago,above_sma_20,above_sma_50,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,rotation_signal,rotation_score
JSWSTEEL,JSW Steel,JSWSTEEL.NS,True,2026-08-27,1337.5,-0.26,2.91,5.25,1.5,64.53,58.11,True,True,True,3.08,5.87,0.05551901,0.05223625,6.28,6.24,True,Strengthening with volume,6.5
ADANIENT,Adani Enterprises,ADANIENT.NS,True,2026-08-27,3169.0,1.83,5.81,3.93,1.61,66.61,45.15,True,True,True,4.59,3.27,0.13154372,0.12674934,3.78,4.91,True,Strengthening with volume,6.28
KOTAKBANK,Kotak Mahindra Bank,KOTAKBANK.NS,True,2026-08-27,424.2,1.8,6.76,8.94,2.95,74.83,57.53,True,True,True,6.77,8.18,0.01760835,0.01619455,8.73,9.96,True,Strengthening with volume,5.7
ETERNAL,Eternal,ETERNAL.NS,True,2026-08-27,328.5,0.46,0.17,5.75,1.38,66.39,69.51,True,True,True,3.15,10.83,0.01363588,0.0122434,11.37,6.74,True,Strengthening,5.7
EICHERMOT,Eicher Motors,EICHERMOT.NS,True,2026-08-27,8100.0,0.81,0.72,3.44,0.93,64.7,63.22,True,True,True,1.04,5.62,0.33622725,0.3167689,6.14,4.41,True,Strengthening,5.38
BAJAJ-AUTO,Bajaj Auto,BAJAJ-AUTO.NS,True,2026-08-27,11720.0,-0.03,-0.62,2.52,0.98,59.4,67.29,True,True,True,0.13,7.61,0.48649177,0.44998374,8.11,3.48,True,Strengthening,5.2
SHRIRAMFIN,Shriram Finance,SHRIRAMFIN.NS,True,2026-08-27,1101.0,-1.48,-2.41,7.18,1.05,51.0,60.6,False,True,True,-1.31,3.3,0.045702,0.04399506,3.88,8.19,True,Strengthening,5.0
HINDALCO,Hindalco,HINDALCO.NS,True,2026-08-27,1024.0,-2.75,-0.57,5.52,0.75,50.05,54.16,False,True,True,-1.32,3.33,0.04250577,0.04097719,3.73,6.51,True,Strengthening,5.0
BAJAJFINSV,Bajaj Finserv,BAJAJFINSV.NS,True,2026-08-27,2011.0,0.05,-0.25,5.32,0.42,55.96,58.53,False,True,True,-0.99,4.58,0.08347568,0.07941824,5.11,6.31,True,Strengthening,5.0
GRASIM,Grasim,GRASIM.NS,True,2026-08-27,3258.0,-1.27,-1.27,5.26,0.65,52.57,59.01,False,True,True,-0.18,2.38,0.13523807,0.13146401,2.87,6.25,True,Strengthening,5.0
ICICIBANK,ICICI Bank,ICICIBANK.NS,True,2026-08-27,1443.0,0.91,2.2,1.48,1.25,59.49,48.92,True,True,True,1.07,2.45,0.05989826,0.05814133,3.02,2.44,True,Strengthening,4.99
BEL,Bharat Electronics,BEL.NS,True,2026-08-27,411.0,1.01,0.39,6.93,0.86,54.61,55.83,True,True,False,1.59,0.84,0.01706042,0.01685735,1.2,7.93,True,Strengthening,4.9
TITAN,Titan,TITAN.NS,True,2026-08-27,5139.3,0.77,1.41,5.96,1.25,70.05,67.98,True,True,True,1.89,8.31,0.21332995,0.1960434,8.82,6.96,True,Strengthening,4.9
HEROMOTOCO,Hero MotoCorp,HEROMOTOCO.NS,True,2026-08-27,5550.0,-0.8,-3.32,4.23,0.81,51.7,66.39,False,True,True,-2.42,6.37,0.23037793,0.21555096,6.88,5.2,True,Strengthening,4.84
BAJFINANCE,Bajaj Finance,BAJFINANCE.NS,True,2026-08-27,1083.0,-0.18,-1.1,2.8,0.68,51.33,55.13,False,True,True,-1.9,2.88,0.04495483,0.04345567,3.45,3.77,True,Strengthening,4.55
LT,Larsen & Toubro,LT.NS,True,2026-08-27,4027.0,-0.27,-1.32,2.27,0.81,50.13,59.19,False,True,True,-0.61,0.56,0.1671589,0.1654028,1.06,3.23,True,Strengthening,4.45
SBIN,State Bank of India,SBIN.NS,True,2026-08-27,1042.9,-0.87,-0.49,1.72,0.47,47.32,49.14,False,True,True,-1.45,0.03,0.0432903,0.04306487,0.52,2.67,True,Strengthening,4.33
M&M,Mahindra & Mahindra,M&M.NS,True,2026-08-27,3330.0,-2.01,-2.77,1.41,0.92,46.82,58.65,False,True,True,-2.79,2.34,0.13822676,0.13434431,2.89,2.36,True,Strengthening,4.27
INDUSINDBK,IndusInd Bank,INDUSINDBK.NS,True,2026-08-27,1002.9,-0.11,-0.51,-0.85,1.07,47.15,49.46,False,True,True,-1.29,0.57,0.04162992,0.0412047,1.03,0.09,True,Strengthening,3.82
ULTRACEMCO,UltraTech Cement,ULTRACEMCO.NS,True,2026-08-27,11717.0,0.0,1.23,-1.1,1.43,52.18,46.12,False,True,True,-0.56,1.31,0.48636724,0.47768761,1.82,-0.17,True,Neutral / watch,3.77
APOLLOHOSP,Apollo Hospitals,APOLLOHOSP.NS,True,2026-08-27,8800.0,0.38,0.74,-1.98,0.66,50.43,46.98,False,True,True,-0.18,0.15,0.36528392,0.36284609,0.67,-1.06,True,Neutral / watch,3.59
ADANIPORTS,Adani Ports,ADANIPORTS.NS,True,2026-08-27,1714.0,1.33,1.06,3.0,1.12,50.12,43.36,True,False,True,1.43,-2.69,0.07114735,0.07281749,-2.29,3.97,False,Neutral / watch,3.09
TECHM,Tech Mahindra,TECHM.NS,True,2026-08-27,1585.0,0.89,-0.45,-5.03,0.76,49.25,50.9,False,True,True,-2.02,3.31,0.06579262,0.06336586,3.83,-4.14,True,Neutral / watch,2.97
AXISBANK,Axis Bank,AXISBANK.NS,True,2026-08-27,1256.0,0.08,0.4,2.21,1.4,51.9,49.3,True,False,False,1.12,-2.08,0.05213598,0.05298453,-1.6,3.17,False,Neutral / watch,2.13
HCLTECH,HCL Technologies,HCLTECH.NS,True,2026-08-27,1282.0,-1.27,-2.76,-5.23,1.03,45.37,54.05,False,True,False,-4.12,3.62,0.05321523,0.05113613,4.07,-4.34,True,Neutral / watch,2.13
SUNPHARMA,Sun Pharma,SUNPHARMA.NS,True,2026-08-27,1913.3,0.73,0.49,-4.39,0.59,47.73,43.5,False,False,True,-0.75,-0.37,0.0794202,0.07929808,0.15,-3.49,True,Neutral / watch,2.1
HDFCLIFE,HDFC Life,HDFCLIFE.NS,True,2026-08-27,548.0,-0.9,1.11,0.48,0.7,49.39,45.26,True,False,False,0.86,-1.87,0.02274723,0.0230778,-1.43,1.42,False,Neutral / watch,1.78
TATASTEEL,Tata Steel,TATASTEEL.NS,True,2026-08-27,186.8,-0.64,1.8,-0.06,1.67,49.49,41.23,False,False,False,-0.23,-0.55,0.00775398,0.0077697,-0.2,0.87,False,Neutral / watch,1.77
INFY,Infosys,INFY.NS,True,2026-08-27,1110.8,-0.82,-1.7,-3.84,0.84,44.89,49.26,False,True,False,-3.48,1.05,0.0461088,0.04546676,1.41,-2.93,True,Neutral / watch,1.61
TCS,TCS,TCS.NS,True,2026-08-27,2248.4,-0.95,-2.16,-7.54,0.62,42.8,47.87,False,True,False,-4.48,0.49,0.09333004,0.09249161,0.91,-6.67,True,Neutral / watch,1.0
DRREDDY,Dr Reddy's Labs,DRREDDY.NS,True,2026-08-27,1177.0,-0.42,-0.25,2.81,0.6,44.48,44.71,False,False,False,-0.37,-4.19,0.04885672,0.05068984,-3.62,3.78,False,Neutral / watch,0.76
CIPLA,Cipla,CIPLA.NS,True,2026-08-27,1420.0,1.23,-1.25,-3.16,0.67,44.2,47.89,False,False,True,-1.89,-1.43,0.05894354,0.05944028,-0.84,-2.25,False,Weakening,0.35
NTPC,NTPC,NTPC.NS,True,2026-08-27,330.9,-1.11,-1.96,-4.05,1.53,34.3,40.61,False,False,False,-2.89,-4.69,0.01373551,0.01435255,-4.3,-3.14,False,Weakening,0.17
ASIANPAINT,Asian Paints,ASIANPAINT.NS,True,2026-08-27,2631.0,0.17,0.22,-4.19,0.77,38.7,36.39,False,False,True,-2.57,-2.3,0.10921159,0.11130896,-1.88,-3.29,False,Weakening,0.14
NESTLEIND,Nestle India,NESTLEIND.NS,True,2026-08-27,1450.0,-0.1,-0.55,-4.65,0.35,42.33,43.44,False,False,True,-2.92,-0.7,0.06018883,0.06030917,-0.2,-3.75,False,Weakening,0.05
RELIANCE,Reliance Industries,RELIANCE.NS,True,2026-08-27,1282.2,-1.22,-2.36,-0.83,1.12,40.96,51.32,False,False,False,-2.31,-1.73,0.05322353,0.05390934,-1.27,0.1,False,Neutral / watch,0.02
HDFCBANK,HDFC Bank,HDFCBANK.NS,True,2026-08-27,711.0,-2.23,-1.94,-5.7,1.81,29.99,36.12,False,False,False,-2.62,-7.09,0.02951328,0.03160943,-6.63,-4.81,False,Weakening,-0.16
POWERGRID,Power Grid,POWERGRID.NS,True,2026-08-27,264.9,-0.11,0.04,-7.28,0.83,36.89,32.22,False,False,False,-2.36,-5.47,0.01099588,0.01158225,-5.06,-6.41,False,Mean reversion bounce,-0.3
COALINDIA,Coal India,COALINDIA.NS,True,2026-08-27,400.0,-0.87,-0.62,-2.84,0.74,33.74,33.55,False,False,False,-2.22,-4.61,0.01660381,0.01733842,-4.24,-1.93,False,Weakening,-0.39
JIOFIN,Jio Financial Services,JIOFIN.NS,True,2026-08-27,238.1,-1.2,-2.66,-3.36,0.48,39.26,46.15,False,False,False,-5.17,-2.2,0.00988342,0.01005863,-1.74,-2.45,False,Weakening,-0.49
ONGC,ONGC,ONGC.NS,True,2026-08-27,232.0,-0.09,-2.73,-3.97,0.9,31.78,42.74,False,False,False,-2.6,-3.78,0.00963021,0.00997154,-3.42,-3.07,False,Weakening,-0.61
BHARTIARTL,Bharti Airtel,BHARTIARTL.NS,True,2026-08-27,1878.3,-1.25,-3.27,-4.01,1.34,40.36,51.97,False,False,False,-3.45,-1.69,0.07796736,0.07894276,-1.24,-3.11,False,Weakening,-0.62
TRENT,Trent,TRENT.NS,True,2026-08-27,2878.5,-1.02,-3.08,-4.02,0.58,38.45,47.7,False,False,False,-3.62,-4.76,0.1194852,0.12483075,-4.28,-3.12,False,Weakening,-0.62
MARUTI,Maruti Suzuki,MARUTI.NS,True,2026-08-27,13440.0,-0.59,-2.67,-4.32,0.96,39.81,50.85,False,False,False,-2.83,-2.07,0.55788817,0.56668555,-1.55,-3.42,False,Weakening,-0.68
HINDUNILVR,Hindustan Unilever,HINDUNILVR.NS,True,2026-08-27,2009.0,-0.59,-0.94,-4.69,0.88,37.09,38.76,False,False,False,-2.52,-4.96,0.08339266,0.08734716,-4.53,-3.8,False,Weakening,-0.76
TATACONSUM,Tata Consumer,TATACONSUM.NS,True,2026-08-27,1042.0,-0.49,-1.35,-4.77,0.76,39.19,41.56,False,False,False,-3.03,-4.47,0.04325294,0.04504571,-3.98,-3.88,False,Weakening,-0.78
WIPRO,Wipro,WIPRO.NS,True,2026-08-27,176.4,-0.54,-2.54,-5.33,0.57,40.0,49.21,False,False,False,-3.52,-0.8,0.00732228,0.00735095,-0.39,-4.44,False,Weakening,-0.89
