symbol,company,ticker,last_date,last_price,open,day_high,day_low,previous_close,change_pct,year_high,year_low,distance_from_52w_high_pct,fresh_52w_high,within_3pct_52w_high,volume,traded_value,source
LAURUSLABS,Laurus Labs Ltd.,LAURUSLABS.NS,2026-09-21,1992.8,,1997.9,1963.8,1954.0,1.99,1997.9,823.1,-0.26,True,True,710828,,Nifty Indices constituents + Yahoo history
AUROPHARMA,Aurobindo Pharma Ltd.,AUROPHARMA.NS,2026-09-21,1730.1,,1738.9,1706.4,1734.0,-0.22,1738.9,1066.8,-0.51,True,True,365922,,Nifty Indices constituents + Yahoo history
TEGA,Tega Industries Ltd.,TEGA.NS,2026-09-21,2068.2,,2089.0,1933.3,1943.0,6.44,2089.0,1473.0,-1.0,True,True,1520843,,Nifty Indices constituents + Yahoo history
WELSPUNLIV,Welspun Living Ltd.,WELSPUNLIV.NS,2026-09-21,215.86,,218.2,214.47,214.66,0.56,218.2,107.1,-1.07,True,True,1296850,,Nifty Indices constituents + Yahoo history
APARINDS,Apar Industries Ltd.,APARINDS.NS,2026-09-21,18914.0,,19128.0,18548.0,18858.0,0.3,19128.0,6801.0,-1.12,True,True,68754,,Nifty Indices constituents + Yahoo history
PVRINOX,PVR INOX Ltd.,PVRINOX.NS,2026-09-21,1338.9,,1355.2,1322.6,1324.7,1.07,1355.2,907.4,-1.2,True,True,186090,,Nifty Indices constituents + Yahoo history
AEGISVOPAK,Aegis Vopak Terminals Ltd.,AEGISVOPAK.NS,2026-09-21,315.65,,320.2,309.2,314.95,0.22,320.2,158.0,-1.42,True,True,1611890,,Nifty Indices constituents + Yahoo history
ACE,Action Construction Equipment Ltd.,ACE.NS,2026-09-21,1246.5,,1268.0,1239.0,1229.2,1.41,1268.0,745.1,-1.7,True,True,370244,,Nifty Indices constituents + Yahoo history
ACMESOLAR,ACME Solar Holdings Ltd.,ACMESOLAR.NS,2026-09-21,454.7,,464.45,437.5,435.25,4.47,464.45,195.9,-2.1,True,True,4258222,,Nifty Indices constituents + Yahoo history
JYOTICNC,Jyoti CNC Automation Ltd.,JYOTICNC.NS,2026-09-21,1109.5,,1134.6,1057.8,1049.7,5.7,1134.6,580.1,-2.21,True,True,3675635,,Nifty Indices constituents + Yahoo history
SHYAMMETL,Shyam Metalics and Energy Ltd.,SHYAMMETL.NS,2026-09-21,1087.0,,1114.5,1071.0,1100.0,-1.18,1114.5,746.0,-2.47,True,True,2069613,,Nifty Indices constituents + Yahoo history
WELCORP,Welspun Corp Ltd.,WELCORP.NS,2026-09-21,2699.7,,2797.6,2666.2,2660.1,1.49,2797.6,710.0,-3.5,True,False,1524384,,Nifty Indices constituents + Yahoo history
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,2026-09-21,8964.0,,8974.5,8826.5,8768.5,2.23,9050.0,6696.5,-0.95,False,True,72298,,Nifty Indices constituents + Yahoo history
IPCALAB,Ipca Laboratories Ltd.,IPCALAB.NS,2026-09-21,2015.0,,2033.9,2004.0,2009.6,0.27,2038.0,1251.6,-1.13,False,True,69520,,Nifty Indices constituents + Yahoo history
PIRAMALFIN,Piramal Finance Ltd.,PIRAMALFIN.NS,2026-09-21,2291.9,,2304.8,2271.0,2300.2,-0.36,2326.4,1260.0,-1.48,False,True,55872,,Nifty Indices constituents + Yahoo history
VIJAYA,Vijaya Diagnostic Centre Ltd.,VIJAYA.NS,2026-09-21,1548.0,,1564.0,1543.3,1558.9,-0.7,1578.0,848.0,-1.9,False,True,30632,,Nifty Indices constituents + Yahoo history
KPIL,Kalpataru Projects International Ltd.,KPIL.NS,2026-09-21,1448.9,,1460.6,1435.0,1445.5,0.24,1479.6,1007.1,-2.07,False,True,74315,,Nifty Indices constituents + Yahoo history
DIVISLAB,Divi's Laboratories Ltd.,DIVISLAB.NS,2026-09-21,9400.0,,9461.5,9375.5,9375.0,0.27,9615.0,5636.5,-2.24,False,True,111926,,Nifty Indices constituents + Yahoo history
GLAND,Gland Pharma Ltd.,GLAND.NS,2026-09-21,2967.0,,3008.0,2962.1,2961.9,0.17,3042.0,1573.6,-2.47,False,True,140197,,Nifty Indices constituents + Yahoo history
PAYTM,One 97 Communications Ltd.,PAYTM.NS,2026-09-21,1807.1,,1829.3,1792.0,1849.9,-2.31,1855.5,930.6,-2.61,False,True,3019998,,Nifty Indices constituents + Yahoo history
JSWINFRA,JSW Infrastructure Ltd.,JSWINFRA.NS,2026-09-21,347.05,,350.8,345.95,348.25,-0.34,356.95,233.42,-2.77,False,True,1971593,,Nifty Indices constituents + Yahoo history
BHEL,Bharat Heavy Electricals Ltd.,BHEL.NS,2026-09-21,434.0,,438.3,430.2,439.9,-1.34,446.5,229.54,-2.8,False,True,1672399,,Nifty Indices constituents + Yahoo history
ANANDRATHI,Anand Rathi Wealth Ltd.,ANANDRATHI.NS,2026-09-21,2202.5,,2234.7,2200.5,2229.4,-1.21,2268.4,1353.85,-2.91,False,True,51447,,Nifty Indices constituents + Yahoo history
USHAMART,Usha Martin Ltd.,USHAMART.NS,2026-09-21,513.8,,515.0,505.2,507.2,1.3,529.3,380.0,-2.93,False,True,191361,,Nifty Indices constituents + Yahoo history
INDGN,Indegene Ltd.,INDGN.NS,2026-09-21,597.15,,606.4,597.0,600.1,-0.49,615.5,414.0,-2.98,False,True,96433,,Nifty Indices constituents + Yahoo history
GLENMARK,Glenmark Pharmaceuticals Ltd.,GLENMARK.NS,2026-09-21,2459.9,,2473.6,2424.0,2416.0,1.82,2537.6,1792.6,-3.06,False,False,184553,,Nifty Indices constituents + Yahoo history
AEGISLOG,Aegis Logistics Ltd.,AEGISLOG.NS,2026-09-21,1449.2,,1458.8,1416.4,1415.4,2.39,1497.8,576.1,-3.24,False,False,585796,,Nifty Indices constituents + Yahoo history
RBLBANK,RBL Bank Ltd.,RBLBANK.NS,2026-09-21,406.75,,409.9,403.25,415.9,-2.2,420.4,261.6,-3.25,False,False,828275,,Nifty Indices constituents + Yahoo history
ZYDUSLIFE,Zydus Lifesciences Ltd.,ZYDUSLIFE.NS,2026-09-21,1165.1,,1173.5,1155.0,1160.0,0.44,1205.0,835.5,-3.31,False,False,180953,,Nifty Indices constituents + Yahoo history
ENGINERSIN,Engineers India Ltd.,ENGINERSIN.NS,2026-09-21,279.85,,281.85,268.25,266.35,5.07,289.65,163.55,-3.38,False,False,3196077,,Nifty Indices constituents + Yahoo history
IDFCFIRSTB,IDFC First Bank Ltd.,IDFCFIRSTB.NS,2026-09-21,85.75,,86.55,85.42,85.92,-0.2,88.76,58.08,-3.39,False,False,4416075,,Nifty Indices constituents + Yahoo history
INDHOTEL,Indian Hotels Co. Ltd.,INDHOTEL.NS,2026-09-21,748.0,,755.0,741.0,732.75,2.08,776.95,565.0,-3.73,False,False,1604820,,Nifty Indices constituents + Yahoo history
CAPLIPOINT,Caplin Point Laboratories Ltd.,CAPLIPOINT.NS,2026-09-21,2767.8,,2818.9,2749.0,2748.6,0.7,2877.3,1500.3,-3.81,False,False,54234,,Nifty Indices constituents + Yahoo history
EMCURE,Emcure Pharmaceuticals Ltd.,EMCURE.NS,2026-09-21,2013.4,,2045.0,1998.1,2003.8,0.48,2100.7,1260.0,-4.16,False,False,101833,,Nifty Indices constituents + Yahoo history
TBOTEK,TBO Tek Ltd.,TBOTEK.NS,2026-09-21,1689.7,,1723.6,1684.1,1710.6,-1.22,1764.8,1004.2,-4.26,False,False,38889,,Nifty Indices constituents + Yahoo history
SONACOMS,Sona BLW Precision Forgings Ltd.,SONACOMS.NS,2026-09-21,807.75,,817.2,798.6,808.0,-0.03,844.0,402.3,-4.3,False,False,1059316,,Nifty Indices constituents + Yahoo history
REDINGTON,Redington Ltd.,REDINGTON.NS,2026-09-21,395.2,,404.85,393.95,399.85,-1.16,413.2,191.31,-4.36,False,False,965119,,Nifty Indices constituents + Yahoo history
BOSCHLTD,Bosch Ltd.,BOSCHLTD.NS,2026-09-21,47815.0,,48180.0,47460.0,47000.0,1.73,50000.0,28610.0,-4.37,False,False,9168,,Nifty Indices constituents + Yahoo history
MEDANTA,Global Health Ltd.,MEDANTA.NS,2026-09-21,1474.0,,1517.8,1473.6,1499.4,-1.69,1544.0,956.0,-4.53,False,False,76298,,Nifty Indices constituents + Yahoo history
APLAPOLLO,APL Apollo Tubes Ltd.,APLAPOLLO.NS,2026-09-21,2190.0,,2229.0,2178.7,2270.1,-3.53,2301.4,1653.3,-4.84,False,False,210920,,Nifty Indices constituents + Yahoo history
NAVINFLUOR,Navin Fluorine International Ltd.,NAVINFLUOR.NS,2026-09-21,8503.5,,8594.0,8405.0,8590.0,-1.01,8949.5,4498.5,-4.98,False,False,21708,,Nifty Indices constituents + Yahoo history
GRANULES,Granules India Ltd.,GRANULES.NS,2026-09-21,877.55,,890.3,874.35,875.5,0.23,923.65,510.55,-4.99,False,False,231845,,Nifty Indices constituents + Yahoo history
JSWSTEEL,JSW Steel Ltd.,JSWSTEEL.NS,2026-09-21,1280.7,,1287.0,1273.8,1275.6,0.4,1351.0,1073.2,-5.2,False,False,167805,,Nifty Indices constituents + Yahoo history
TORNTPHARM,Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS,2026-09-21,4976.5,,4985.0,4848.5,4840.0,2.82,5250.0,3480.6,-5.21,False,False,76613,,Nifty Indices constituents + Yahoo history
ANTHEM,Anthem Biosciences Ltd.,ANTHEM.NS,2026-09-21,925.55,,947.0,924.75,928.5,-0.32,977.55,579.15,-5.32,False,False,157134,,Nifty Indices constituents + Yahoo history
SYRMA,Syrma SGS Technology Ltd.,SYRMA.NS,2026-09-21,1669.4,,1721.0,1658.0,1728.9,-3.44,1764.0,634.5,-5.36,False,False,930055,,Nifty Indices constituents + Yahoo history
